Entity,Code,Year,Carbon monoxide (CO) emissions,Nitrogen oxide (NOx),Sulphur dioxide (SO₂) emissions,Non-methane volatile organic compounds (NMVOC) emissions,Organic carbon (OC) emissions,Black carbon (BC) emissions,Ammonia (NH₃) emissions,Carbon monoxide (CO) emissions (%),Nitrogen oxide (NOx) (%),Sulphur dioxide (SO₂) emissions (%),Non-methane volatile organic compounds (NMVOC) emissions (%),Organic carbon (OC) emissions (%),Black carbon (BC) emissions (%),Ammonia (NH₃) emissions (%)
World,OWID_WRL,1981,551087400.0,98605340.0,135794850.0,116955330.0,10134106.0,4778810.0,41941984.0,14.794217547035823,22.97555288610237,9.397655256708353,11.051130091965515,17.016198964716533,22.43672345891475,24.012042732398335
World,OWID_WRL,1982,553113340.0,96245320.0,132663144.0,115196870.0,10243799.0,4766940.0,42304744.0,15.216230819517179,20.032256262184646,6.874722366739661,9.381441585922074,18.282798891048134,22.13260508897384,25.084634067648594
World,OWID_WRL,1983,556647800.0,96134936.0,130619860.0,114445990.0,10378018.0,4826082.0,42950696.0,15.952476232043933,19.894590965053887,5.228632852862307,8.668467901324245,19.83259491734244,23.647867821496607,26.994553899459078
World,OWID_WRL,1984,565672700.0,98691630.0,131849480.0,115545976.0,10571656.0,4950319.0,43779380.0,17.832407317276953,23.083169374809188,6.2192267145349245,9.712923834930184,22.068488516159128,26.830913645114872,29.44476692752315
World,OWID_WRL,1985,577940860.0,100142420.0,132363224.0,114989290.0,10700295.0,4992258.5,44354452.0,20.38792542192214,24.892520697685093,6.633103890305598,9.184340747640569,23.55385356154371,27.90543532802446,31.145112181534163
World,OWID_WRL,1986,582147200.0,102530770.0,131558056.0,116893590.0,10846713.0,5120963.5,45114264.0,21.264126745045836,27.871149053264237,5.984452698542926,10.992506882814826,25.244508644489937,31.20295468802823,33.39168778970256
World,OWID_WRL,1987,591236540.0,106120104.0,134189930.0,118697340.0,11089482.0,5235796.5,45766492.0,23.157480999414517,32.34758342429207,8.104716055592872,12.705199035480144,28.04770663812305,34.14506292521647,35.320164196714366
World,OWID_WRL,1988,600074500.0,109845520.0,135298300.0,121231550.0,11257423.0,5379225.0,46289436.0,24.998471562639153,36.99373232789843,8.997629734991449,15.111475725823029,29.98688286840261,37.81980948149868,36.8663798853821
World,OWID_WRL,1989,600791600.0,112365176.0,134940130.0,122433130.0,11425519.0,5463202.0,47032520.0,25.147847021782262,40.13611883234925,8.709084490578313,16.252396938185935,31.92784884815188,39.97136368137465,39.0634949470292
World,OWID_WRL,1990,594294800.0,112989816.0,135486910.0,123221700.0,11558079.0,5590198.5,47227252.0,23.794531608365833,40.91513799454447,9.149575790073566,17.001157936565587,33.45848878173486,43.22510998029635,39.63926916661226
World,OWID_WRL,1991,591485630.0,113508130.0,132928710.0,123388020.0,11691899.0,5615332.0,47290532.0,23.20936767228853,41.56155279032133,7.088664925797702,17.159081683665402,35.00367764649099,43.86904924322052,39.8263724296364
World,OWID_WRL,1992,585476860.0,113892470.0,128397470.0,123638670.0,11697415.0,5504124.5,47432924.0,21.957711309667825,42.04088204364822,3.4382537989736206,17.397078239765506,35.06736963407129,41.01982905575602,40.24739025246404
World,OWID_WRL,1993,585717900.0,114889580.0,126380070.0,124413784.0,11643529.0,5555071.0,47685980.0,22.00792112792449,43.28442680033444,1.8130166878837422,18.133062530948337,34.44516034423233,42.32511688509001,40.99561407243616
World,OWID_WRL,1994,575773760.0,114800024.0,123285240.0,123776660.0,11677189.0,5635904.5,48083390.0,19.936507826734548,43.172737122936965,-0.6802085369176308,17.528102156686526,34.8338246484297,44.39613223948079,42.170656862550295
World,OWID_WRL,1995,579283200.0,116372136.0,120811630.0,125207310.0,11872881.0,5830334.0,48298932.0,20.667541450127626,45.13339505889537,-2.6729728723806203,18.886529337953686,37.093435314412794,49.377562956281636,42.80796109009057
World,OWID_WRL,1996,567415230.0,117457920.0,117479736.0,124053544.0,11939882.0,5759763.0,48775780.0,18.195384891981504,46.48752950754575,-5.357179167125193,17.791008354329538,37.86708050293115,47.56948060707356,44.217882341141994
World,OWID_WRL,1997,570551900.0,118230090.0,117210264.0,125149464.0,12092682.0,5821153.0,49253416.0,18.848768689820577,47.45054056427008,-5.574268437869523,18.831603549866045,39.63142707694652,49.14233879836863,45.630133512725386
World,OWID_WRL,1998,562204300.0,117673250.0,113979830.0,124544910.0,11973640.0,5560450.0,49742330.0,17.109922527858544,46.75607810545094,-8.17673756730668,18.257568959893806,38.25687639066421,42.46293092990148,47.07573093273461
World,OWID_WRL,1999,551991600.0,116325576.0,108479180.0,123679544.0,12071815.0,5461918.5,50129296.0,14.982566856974739,45.07532780064772,-12.608114842570158,17.43588881720032,39.39048061123986,39.938479441457275,48.21989340554431
World,OWID_WRL,2000,554078200.0,118712640.0,107800536.0,124600360.0,11992801.0,5328567.5,50585396.0,15.417215905988824,48.05235232259056,-13.154837066233526,18.31021970410187,38.47812406543324,36.52192605055667,49.56846796725905
World,OWID_WRL,2001,546182500.0,118295380.0,108487280.0,124303730.0,12000896.0,5375764.0,50686120.0,13.772502738011964,47.53196692361262,-12.601589403589378,18.02856433431941,38.57159517483543,37.731136046084565,49.86628385007896
World,OWID_WRL,2002,530964930.0,118512860.0,107364660.0,124297416.0,12158292.0,5423700.0,51131772.0,10.602608015110938,47.8031968919051,-13.505983021935625,18.022569080957286,40.38901070732054,38.95929259043903,51.183966267481495
World,OWID_WRL,2003,536821570.0,121921500.0,111728190.0,125826370.0,12409411.0,5551651.5,51763450.0,11.822574950037543,52.05427891839255,-9.990680706403744,19.47433762847565,43.288624236902784,42.237506711036694,53.05168142204156
World,OWID_WRL,2004,543509760.0,126374130.0,117096240.0,128919944.0,12672495.0,5748066.0,52623812.0,13.215757842362628,57.60737204749942,-5.666127284084905,22.411740213916794,46.32639487877623,47.26979462786557,55.59555843819158
World,OWID_WRL,2005,547655360.0,129247750.0,122964616.0,131000870.0,12893154.0,5879113.5,53432108.0,14.079306724559881,61.19120440672622,-0.9385063576304697,24.38761582332898,48.87429377063264,50.627330608053555,57.98548920761887
World,OWID_WRL,2006,547772740.0,132362136.0,123619224.0,131518296.0,13100058.0,5965983.5,54446524.0,14.103757556234985,65.07530784626344,-0.4111477699352563,24.878920854394817,51.263366830515345,52.85300565411647,60.98486568776889
World,OWID_WRL,2007,544460700.0,135931500.0,122383120.0,131620540.0,13204969.0,6034392.5,55686696.0,13.413843324328242,69.52683665141487,-1.406965205231501,24.976003319513108,52.474750099013555,54.60569592954088,64.65174665981647
