Country,Year,CO,NO,SO₂,NMVOC,OC,BC,NH₃
World,1970,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World,1971,1.3972031773082951,3.2394196865964404,0.3073804003848236,1.547884403843077,1.294750953474597,3.095025717474034,2.3128896407711963
World,1972,3.9093605295127767,7.815763165403887,3.073892620920815,4.581089504840877,2.4552245096375125,5.997929074318249,4.245079728224823
World,1973,6.180429931775764,14.097024202672689,8.143635062649853,7.910439612349994,3.7480471523931262,9.393645104622998,6.382551189655058
World,1974,5.061324239795876,12.729936864328144,6.672035787118589,6.927556089184379,4.644226672347678,10.007787428689433,8.309206237469285
World,1975,6.97642136186133,12.094265010186714,5.322563727356525,5.864723194290741,6.895893160039397,12.57165644974982,11.084591017340284
World,1976,9.63741258041325,17.18441642405461,10.053743837689614,9.366236013014086,9.006065518686716,16.854511642135435,13.077560097757315
World,1977,12.572791373643266,20.703940791350973,10.769705335343922,11.722818756578375,11.247974985075798,20.812290686432565,15.253362891391168
World,1978,16.126265027976288,23.65216864248329,11.43249658945112,13.717280221123632,13.41319079999492,24.471242046837048,17.98343840447042
World,1979,16.820899449402184,26.780479823124335,13.593979775006089,15.765057092112215,15.818417792188146,26.68000739415009,20.601736867054026
World,1980,15.297336423717372,25.438322993636547,13.017404876420269,13.705942982424906,16.242957913175214,24.1324587944589,22.55313992864057
World,1981,14.794217547035824,22.97555288610237,9.397655256708353,11.051130091965517,17.016198964716533,22.43672345891475,24.01204273239833
World,1982,15.21623081951718,20.03225626218465,6.874722366739661,9.381441585922074,18.28279889104813,22.13260508897384,25.084634067648597
World,1983,15.952476232043932,19.894590965053887,5.228632852862307,8.668467901324245,19.83259491734244,23.647867821496607,26.99455389945908
World,1984,17.832407317276953,23.083169374809188,6.2192267145349245,9.712923834930184,22.068488516159128,26.830913645114872,29.44476692752315
World,1985,20.38792542192214,24.892520697685093,6.633103890305598,9.184340747640569,23.55385356154371,27.90543532802446,31.145112181534163
World,1986,21.26412674504584,27.87114905326424,5.984452698542926,10.992506882814826,25.244508644489937,31.20295468802823,33.39168778970256
World,1987,23.15748099941452,32.34758342429207,8.104716055592872,12.705199035480144,28.04770663812305,34.14506292521647,35.320164196714366
World,1988,24.998471562639157,36.99373232789843,8.997629734991449,15.111475725823029,29.98688286840261,37.81980948149868,36.8663798853821
World,1989,25.147847021782265,40.13611883234925,8.709084490578313,16.252396938185935,31.92784884815188,39.97136368137465,39.0634949470292
World,1990,23.794531608365837,40.91513799454447,9.149575790073566,17.001157936565587,33.45848878173486,43.22510998029635,39.63926916661226
World,1991,23.20936767228853,41.56155279032133,7.088664925797702,17.159081683665402,35.00367764649099,43.86904924322052,39.8263724296364
World,1992,21.957711309667825,42.04088204364822,3.4382537989736206,17.397078239765506,35.06736963407129,41.01982905575602,40.24739025246404
World,1993,22.00792112792449,43.28442680033444,1.8130166878837424,18.133062530948337,34.44516034423233,42.32511688509001,40.99561407243616
World,1994,19.936507826734548,43.172737122936965,-0.6802085369176308,17.528102156686526,34.8338246484297,44.39613223948079,42.170656862550295
World,1995,20.667541450127622,45.13339505889537,-2.6729728723806203,18.88652933795369,37.0934353144128,49.37756295628164,42.80796109009057
World,1996,18.195384891981504,46.48752950754575,-5.357179167125193,17.791008354329538,37.86708050293115,47.56948060707356,44.217882341142
World,1997,18.848768689820577,47.45054056427008,-5.574268437869523,18.831603549866045,39.63142707694652,49.14233879836863,45.630133512725386
World,1998,17.109922527858544,46.75607810545094,-8.17673756730668,18.257568959893806,38.25687639066421,42.46293092990148,47.07573093273461
World,1999,14.98256685697474,45.07532780064772,-12.608114842570158,17.43588881720032,39.39048061123986,39.93847944145728,48.21989340554431
World,2000,15.417215905988824,48.05235232259056,-13.154837066233526,18.31021970410187,38.47812406543324,36.52192605055667,49.56846796725905
World,2001,13.772502738011964,47.53196692361262,-12.601589403589378,18.02856433431941,38.57159517483543,37.731136046084565,49.86628385007896
World,2002,10.602608015110938,47.8031968919051,-13.505983021935624,18.02256908095729,40.38901070732054,38.95929259043903,51.183966267481495
World,2003,11.822574950037543,52.05427891839255,-9.990680706403744,19.47433762847565,43.288624236902784,42.23750671103669,53.05168142204156
World,2004,13.215757842362628,57.60737204749942,-5.666127284084905,22.411740213916797,46.32639487877623,47.26979462786557,55.59555843819158
World,2005,14.07930672455988,61.19120440672622,-0.9385063576304696,24.38761582332898,48.87429377063264,50.62733060805356,57.98548920761887
World,2006,14.103757556234983,65.07530784626344,-0.4111477699352563,24.878920854394817,51.26336683051535,52.85300565411647,60.98486568776889
World,2007,13.413843324328242,69.52683665141487,-1.406965205231501,24.976003319513108,52.47475009901356,54.60569592954088,64.65174665981647
World,2008,11.144461191928675,69.81669902602651,-4.256181322775763,25.10163397715366,54.597392970095015,56.92117172426789,65.5382873357347
World,2009,9.690259538974964,59.828768934216384,-11.86631260655196,23.31859777157743,55.53740403190142,56.44192267886522,66.0256310181729
World,2010,9.674353375176098,59.00693514625566,-14.854501239752846,26.02111821824944,57.96913086301719,58.50340711214243,68.69504580836652
World,2011,8.843581272362705,65.01028648509507,-12.1576855411901,27.51108205587626,56.55483619173644,57.29146850613445,71.39221858581156
World,2012,8.371545656053954,63.76825576731592,-14.61528348037591,30.01676373109095,55.8906890304523,59.47062907025737,73.95197335990153
World,2013,8.097562192923395,61.05722318779271,-18.308617494718018,30.0563396196138,56.42565092033537,57.1739717205785,75.60075286000702
World,2014,5.133047790335763,58.0384865198157,-22.12557232530715,30.960014394684983,55.77643373365988,53.9593355052048,76.5856824136179
